Account,date,classification,total_closed_pnl,num_trades,num_closes,num_liquidations,total_volume_usd,win_rate
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-10,Extreme Greed,3634.56814,153,147,0,214389.55000000002,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-11,Greed,1567.4026840000001,23,11,0,161572.27,0.7272727272727273
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-12,Extreme Greed,323.34897900000016,52,29,0,185290.04,0.13793103448275862
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-13,Extreme Greed,8276.625256,26,25,0,117862.64,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-14,Extreme Greed,-33.03286,36,11,0,60033.97,0.09090909090909091
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-15,Extreme Greed,126.32543000000001,14,13,0,6576.3,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-16,Extreme Greed,758.93225,10,8,0,50820.630000000005,0.5
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-17,Extreme Greed,3146.294798,67,64,0,132567.97,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-18,Extreme Greed,2507.193252,115,98,0,171689.47,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-19,Extreme Greed,13027.2866,235,205,0,687924.26,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-20,Greed,3509.273443,219,202,0,228247.86000000002,0.9653465346534653
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-21,Greed,24.404600000000002,8,4,0,12857.89,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-23,Greed,657.693565,51,50,0,59343.64,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-02,Greed,3429.9583199999997,53,50,0,205117.68,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-07,Extreme Greed,11206.706221,232,221,0,633196.38,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-08,Greed,3710.36178,49,45,0,226664.16,1.0
